organizationName,count
"Aetna Medicare",91
"Humana",91
"Cigna",83
"UnitedHealthcare",73
"Wellcare",69
"Ascension Complete",36
"Blue Cross and Blue Shield of OK, TX",21
"Wellcare by Allwell",19
"Health Alliance Medicare",18
"Anthem Blue Cross and Blue Shield",16
"Devoted Health",14
"Florida Blue HMO",13
"Essence Healthcare",12
"CarePlus Health Plans, Inc.",11
"Vantage Health Plan",11
"AvMed Medicare",9
"Blue Cross and Blue Shield of IL, NM",9
"Provider Partners Health Plans",9
"Simply Healthcare",9
"Zing Health",9
"Molina Healthcare of Texas, Inc.",8
"Blue Cross and Blue Shield of Louisiana HMO",7
"Bright Health",7
"Optima Medicare",7
"Simply Healthcare Plans, Inc.",7
"Blue Cross and Blue Shield of NM, TX",6
"Clover Health",6
"Freedom Health, Inc.",6
"Molina Healthcare of Illinois",6
"Anthem HealthKeepers",5
"Blue Medicare Advantage",5
"Care N' Care Insurance Company",5
"Paramount Elite Medicare Plans",5
"Alignment Health Plan",4
"Amerigroup Insurance Company",4
"Blue Cross and Blue Shield of Texas",4
"BlueCross BlueShield of Tennessee",4
"Clear Spring Health",4
"Florida Blue",4
"Molina Healthcare of Ohio",4
"MyTruAdvantage",4
"Prominence Health Plan",4
"SCAN Health Plan",4
"Arkansas Blue Medicare",3
"Doctors HealthCare Plans, Inc.",3
"Farm Bureau Health Plans",3
"Florida Complete Care",3
"GlobalHealth",3
"Highmark Inc.",3
"Mary Washington Medicare Advantage",3
"MDwise Medicare",3
"Memorial Hermann Health Plan",3
"Oscar",3
"Quartz Medicare Advantage",3
"The Health Plan",3
"Ultimate Health Plans",3
"Amerigroup",2
"Blue Cross Blue Shield of South Carolina",2
"CareSource",2
"Community Health Choice",2
"Gold Kidney Health Plan",2
"Health Advantage",2
"HealthPartners UnityPoint Health",2
"Imperial Insurance Companies, Inc",2
"Indiana University Health Plans",2
"Integris Health Partners+ (HMO)",2
"KelseyCare Advantage",2
"Molina Healthcare of Arizona",2
"Molina Healthcare of Florida",2
"Molina Healthcare of South Carolina",2
"Ochsner Health Plan",2
"Passport Advantage",2
"ProMedica Medicare Plan",2
"Sentara Medicare",2
"Simpra Advantage",2
"Solis Health Plans",2
"Texas Independence Health Plan",2
"UPMC for Life",2
"VIVA Medicare",2
"WellFirst Health",2
"Align Senior Care",1
"AMERIGROUP Community Care",1
"ApexHealth",1
"Baylor Scott & White Health Plan",1
"Blue Cross and Blue Shield of Kansas",1
"Blue Cross and Blue Shield of Louisiana",1
"Blue Cross and Blue Shield of Oklahoma",1
"CareSource MyCare Ohio (HMO D-SNP)",1
"Community First",1
"CommunityCare Options (PPO)",1
"CommunityCare Senior Health Plan (HMO)",1
"El Paso Health Medicare Advantage",1
"Kaiser Permanente",1
"Medical Mutual of Ohio",1
"MediGold",1
"Molina Healthcare of Virginia",1
"Sonder Health Plan, Inc.",1
"SummaCare Medicare Advantage Plans",1
"Tribute Health Plans",1
"Valor Health Plan",1
